Year,Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS,    Population 25 years and over with earnings,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree,    Graduate or professional degree,    Educational attainment
2010,"Tampa city, Florida!!Total!!Estimate","37,553",15.90%,39.80%,34.70%,9.70%,"219,892",5.70%,9.20%,28.20%,17.70%,7.30%,20.50%,11.50%,85.10%,31.90%,,33.40%,21.80%,15.80%,5.40%,,"32,066","17,013","24,693","31,061","46,787","67,891",5.80%
2010,"Atlanta city, Georgia!!Total!!Estimate","64,414",13.50%,22.80%,48.90%,14.70%,"277,427",3.50%,9.60%,21.20%,16.60%,4.20%,27.00%,17.80%,86.80%,44.80%,,41.20%,29.00%,22.60%,7.20%,,"35,857","16,898","19,052","24,581","50,536","65,128",8.10%
2010,"Chicago city, Illinois!!Total!!Estimate","301,289",19.10%,25.40%,38.60%,16.90%,"1,765,972",9.40%,10.20%,23.30%,18.50%,5.30%,20.20%,13.20%,80.50%,33.30%,,30.70%,22.40%,16.90%,6.60%,,"34,741","19,244","22,749","31,007","48,866","62,352",5.70%
2010,"Indianapolis city (balance), Indiana!!Total!!Estimate","87,605",25.90%,26.20%,37.40%,10.50%,"529,770",5.30%,11.00%,29.40%,20.80%,6.90%,17.60%,9.00%,83.80%,26.70%,,34.20%,17.70%,11.30%,4.90%,,"29,923","17,559","22,208","29,129","41,819","57,167",3.40%
2010,"Wichita city, Kansas!!Total!!Estimate","39,458",18.10%,28.40%,44.10%,9.50%,"242,406",5.30%,9.50%,26.70%,24.50%,6.60%,18.90%,8.60%,85.30%,27.40%,,28.60%,16.20%,11.00%,4.30%,,"31,356","18,933","26,330","30,123","41,801","57,286",3.40%
2010,"New Orleans city, Louisiana!!Total!!Estimate","44,670",19.10%,26.10%,39.90%,14.90%,"229,330",5.30%,10.50%,25.10%,20.90%,5.00%,19.20%,14.00%,84.20%,33.10%,,39.90%,24.10%,19.40%,8.50%,,"31,402","15,210","22,567","29,272","41,640","53,985",4.30%
2010,"Baltimore city, Maryland!!Total!!Estimate","78,129",19.70%,31.10%,36.30%,13.00%,"409,515",8.20%,14.90%,29.50%,19.40%,3.70%,13.20%,11.00%,76.90%,24.20%,,31.60%,24.20%,15.80%,6.50%,,"31,986","20,202","26,250","32,031","47,617","57,350",6.20%
2010,"Boston city, Massachusetts!!Total!!Estimate","121,769",7.30%,18.80%,52.60%,21.30%,"396,455",7.90%,6.30%,23.80%,13.10%,4.60%,24.50%,19.80%,85.80%,44.30%,,38.20%,19.50%,18.00%,6.80%,,"41,551","20,537","29,719","34,967","51,149","65,126",7.00%
2010,"Detroit city, Michigan!!Total!!Estimate","80,366",27.50%,32.60%,36.20%,3.70%,"442,004",6.20%,16.50%,32.80%,26.40%,6.20%,7.00%,4.90%,77.40%,12.00%,,44.00%,30.90%,26.90%,9.20%,,"24,709","15,005","21,787","25,354","38,624","51,519",8.20%
2010,"Minneapolis city, Minnesota!!Total!!Estimate","58,676",9.40%,13.90%,58.50%,18.10%,"252,767",5.30%,5.50%,18.40%,19.30%,7.00%,28.10%,16.50%,89.30%,44.60%,,47.00%,26.40%,16.90%,6.00%,,"36,165","20,412","20,956","30,867","43,251","59,174",3.20%
2010,"Newark city, New Jersey!!Total!!Estimate","31,763",23.70%,38.20%,33.60%,4.60%,"172,532",16.70%,14.00%,34.80%,16.20%,4.40%,10.60%,3.30%,69.20%,13.90%,,32.40%,24.80%,19.10%,13.80%,,"26,983","21,592","24,561","28,281","38,875","50,406",8.40%
2010,"Albuquerque city, New Mexico!!Total!!Estimate","57,631",13.30%,30.10%,48.10%,8.50%,"358,566",5.70%,6.80%,22.50%,26.00%,6.90%,18.20%,13.90%,87.50%,32.00%,,31.60%,15.10%,12.10%,5.60%,,"33,294","18,178","26,954","31,445","44,571","52,841",6.30%
2010,"Buffalo city, New York!!Total!!Estimate","36,970",18.70%,29.00%,40.90%,11.50%,"164,794",5.80%,11.90%,28.90%,20.20%,9.30%,14.00%,9.90%,82.30%,23.80%,,40.60%,23.20%,21.70%,7.90%,,"27,579","11,920","23,273","28,435","35,965","51,695",4.80%
2010,"New York city, New York!!Total!!Estimate","871,496",18.70%,23.10%,40.60%,17.60%,"5,548,124",10.80%,9.60%,25.40%,14.90%,6.00%,19.90%,13.40%,79.60%,33.40%,,30.80%,18.70%,13.70%,7.00%,,"36,766","19,446","27,045","35,368","51,097","67,859",8.40%
2010,"Charlotte city, North Carolina!!Total!!Estimate","73,566",18.00%,25.50%,45.30%,11.20%,"474,405",5.20%,8.10%,20.40%,20.80%,6.70%,25.90%,12.80%,86.60%,38.80%,,30.70%,17.20%,11.90%,4.00%,,"34,094","17,005","23,892","30,828","46,351","61,717",3.60%
2010,"Raleigh city, North Carolina!!Total!!Estimate","57,825",12.30%,13.90%,59.60%,14.20%,"256,759",3.50%,4.70%,16.30%,21.10%,8.10%,31.30%,15.00%,91.70%,46.20%,,42.90%,15.20%,11.10%,4.50%,,"34,898","14,204","22,183","31,046","45,490","55,106",4.50%
2010,"Cleveland city, Ohio!!Total!!Estimate","43,088",31.70%,31.20%,32.70%,4.40%,"259,573",6.00%,16.40%,34.00%,24.10%,6.20%,8.30%,5.00%,77.70%,13.30%,,40.70%,24.70%,24.50%,8.40%,,"24,463","13,803","21,570","25,495","40,699","46,649",4.80%
2010,"Columbus city, Ohio!!Total!!Estimate","107,074",14.10%,22.50%,50.30%,13.10%,"495,878",3.30%,8.30%,27.80%,22.00%,6.90%,21.30%,10.40%,88.40%,31.60%,,35.90%,16.90%,14.40%,6.20%,,"31,770","17,392","26,693","30,646","41,662","52,446",3.60%
2010,"Oklahoma City city, Oklahoma!!Total!!Estimate","56,801",19.30%,30.40%,42.10%,8.20%,"378,883",6.70%,7.90%,26.00%,26.20%,6.10%,18.30%,8.80%,85.40%,27.10%,,24.60%,15.80%,11.40%,2.50%,,"30,340","17,299","23,631","29,254","41,772","58,390",4.50%
2010,"Tulsa city, Oklahoma!!Total!!Estimate","41,103",21.70%,29.30%,41.40%,7.70%,"256,293",4.20%,9.20%,26.90%,24.30%,6.50%,18.50%,10.40%,86.70%,28.90%,,31.50%,18.70%,14.30%,5.40%,,"29,291","17,777","21,488","27,170","39,998","51,898",5.20%
2010,"Portland city, Oregon!!Total!!Estimate","60,386",15.50%,18.00%,53.70%,12.80%,"410,687",4.30%,6.80%,17.70%,22.40%,6.50%,26.30%,15.90%,88.90%,42.20%,,32.70%,17.50%,17.20%,7.50%,,"31,616","19,754","25,239","27,004","40,641","55,134",3.50%
2010,"Pittsburgh city, Pennsylvania!!Total!!Estimate","54,777",3.80%,22.20%,51.00%,23.00%,"197,193",3.10%,7.30%,29.20%,17.50%,7.90%,18.50%,16.50%,89.60%,34.90%,,31.10%,18.60%,16.00%,7.80%,,"30,148","16,220","21,991","26,396","37,421","51,813",5.50%
2010,"Arlington city, Texas!!Total!!Estimate","42,429",19.70%,29.20%,42.00%,9.10%,"222,302",7.60%,8.90%,24.40%,24.50%,7.10%,19.10%,8.30%,83.50%,27.50%,,21.30%,13.10%,7.10%,3.50%,,"31,777","19,121","25,095","31,384","47,763","61,091",4.60%
2010,"Austin city, Texas!!Total!!Estimate","114,518",14.30%,21.70%,50.60%,13.40%,"502,032",8.20%,6.20%,17.30%,19.30%,5.30%,27.50%,16.10%,85.60%,43.70%,,37.40%,18.80%,11.70%,6.00%,,"33,102","16,758","22,495","30,731","46,491","60,571",5.40%
2010,"Dallas city, Texas!!Total!!Estimate","126,382",29.40%,26.20%,33.20%,11.20%,"759,848",14.60%,11.90%,22.80%,17.80%,4.00%,18.50%,10.40%,73.50%,28.90%,,30.00%,22.20%,12.90%,4.70%,,"29,273","17,505","23,264","30,796","50,308","70,596",6.50%
2010,"El Paso city, Texas!!Total!!Estimate","73,538",16.80%,32.10%,45.90%,5.20%,"392,821",14.50%,10.10%,24.20%,23.30%,6.40%,14.20%,7.30%,75.40%,21.50%,,32.00%,17.30%,12.70%,4.70%,,"25,829","14,797","20,689","27,503","42,813","56,902",3.50%
2010,"Fort Worth city, Texas!!Total!!Estimate","75,354",19.80%,30.90%,40.50%,8.90%,"453,331",10.30%,9.80%,24.40%,23.00%,6.40%,18.50%,7.50%,79.90%,26.10%,,25.60%,17.50%,10.30%,4.60%,,"32,266","18,913","28,546","32,250","50,892","63,140",3.80%
2010,"Houston city, Texas!!Total!!Estimate","227,777",23.60%,28.70%,37.10%,10.60%,"1,337,138",14.40%,11.30%,22.10%,19.50%,4.50%,17.40%,11.00%,74.30%,28.30%,,31.70%,20.00%,14.10%,5.50%,,"30,241","17,338","23,406","30,313","50,495","67,082",5.90%
2010,"San Antonio city, Texas!!Total!!Estimate","152,095",19.90%,30.80%,44.30%,5.00%,"826,467",10.10%,9.70%,25.60%,23.90%,6.90%,15.00%,8.80%,80.20%,23.70%,,28.80%,15.90%,10.40%,5.20%,,"29,783","18,379","23,395","30,360","46,169","61,019",4.90%
2010,"Salt Lake City city, Utah!!Total!!Estimate","24,999",12.10%,19.10%,59.00%,9.80%,"116,013",5.60%,10.90%,17.40%,22.00%,6.80%,21.40%,15.90%,83.50%,37.30%,,33.50%,22.00%,14.50%,8.40%,,"26,530","19,407","20,584","24,169","35,431","52,414",2.00%
2010,"Seattle city, Washington!!Total!!Estimate","71,575",7.90%,16.50%,53.80%,21.90%,"443,842",3.40%,3.80%,12.10%,18.00%,6.80%,33.10%,22.90%,92.80%,56.00%,,29.20%,21.00%,13.10%,5.90%,,"42,067","21,457","27,419","31,819","48,977","61,988",4.20%
2010,"Milwaukee city, Wisconsin!!Total!!Estimate","80,625",18.80%,24.70%,46.90%,9.50%,"356,525",6.90%,12.50%,31.80%,21.50%,5.90%,13.90%,7.50%,80.60%,21.40%,,35.40%,22.50%,17.70%,5.50%,,"27,676","17,610","24,337","26,973","40,611","52,989",5.80%
