Year,Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS,    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree,    Educational attainment
2014,"Denver city, Colorado!!Total!!Estimate","57,614",12.40%,24.20%,45.20%,18.30%,"467,801",7.40%,7.10%,17.60%,18.20%,5.50%,26.80%,17.40%,85.50%,44.30%,,27.10%,17.30%,14.50%,5.40%,,"39,995","24,415","26,256","32,655","48,483","66,884",7.90%
2014,"Washington city, District of Columbia!!Total!!Estimate","80,652",11.70%,25.90%,38.60%,23.70%,"463,211",4.10%,5.70%,18.20%,13.60%,3.40%,24.30%,30.60%,90.20%,55.00%,,33.70%,23.90%,18.00%,5.80%,,"55,123","23,181","28,125","38,724","62,475","88,605",8.50%
2014,"Jacksonville city, Florida!!Total!!Estimate","85,065",19.30%,33.80%,38.20%,8.70%,"570,520",3.50%,7.90%,30.10%,23.30%,10.30%,16.90%,8.10%,88.60%,24.90%,,38.20%,19.00%,11.50%,4.70%,,"31,752","17,994","25,770","31,808","45,470","54,808",10.70%
2014,"Miami city, Florida!!Total!!Estimate","36,279",18.80%,32.20%,39.00%,10.00%,"317,928",14.60%,10.60%,31.10%,14.20%,5.80%,14.90%,8.70%,74.80%,23.60%,,33.20%,27.90%,17.70%,11.50%,,"23,873","16,148","20,397","25,744","40,020","61,607",8.60%
2014,"Orlando city, Florida!!Total!!Estimate","27,157",15.30%,34.10%,35.90%,14.70%,"179,229",4.50%,5.00%,24.80%,19.70%,11.80%,21.70%,12.60%,90.50%,34.30%,,38.60%,18.20%,15.00%,7.40%,,"30,422","15,466","23,243","25,417","43,349","54,820",9.10%
2014,"Tampa city, Florida!!Total!!Estimate","40,906",14.90%,25.80%,48.90%,10.40%,"239,008",5.30%,8.60%,25.40%,17.30%,9.40%,20.30%,13.70%,86.10%,34.00%,,35.90%,19.10%,15.30%,5.40%,,"36,379","20,169","24,146","32,174","50,091","70,629",9.90%
2014,"Atlanta city, Georgia!!Total!!Estimate","63,635",10.20%,17.70%,53.10%,18.90%,"306,985",2.90%,7.70%,18.00%,17.80%,4.70%,27.40%,21.50%,89.40%,48.90%,,44.90%,32.60%,19.20%,5.50%,,"41,210","13,580","20,632","27,534","50,420","68,582",8.10%
2014,"Chicago city, Illinois!!Total!!Estimate","288,747",16.10%,26.20%,40.10%,17.60%,"1,835,667",8.90%,8.20%,23.80%,17.80%,5.30%,21.40%,14.50%,82.80%,36.00%,,31.30%,22.40%,17.30%,6.90%,,"36,416","21,169","25,014","30,310","51,848","66,385",7.90%
2014,"Indianapolis city (balance), Indiana!!Total!!Estimate","84,769",20.50%,30.10%,39.20%,10.20%,"555,346",4.90%,10.20%,29.20%,20.50%,6.50%,18.50%,10.20%,84.90%,28.70%,,34.70%,18.60%,14.20%,5.70%,,"31,702","18,167","26,879","30,607","42,345","55,091",6.50%
2014,"Wichita city, Kansas!!Total!!Estimate","37,720",15.40%,28.80%,45.90%,9.90%,"247,900",4.60%,8.20%,26.40%,24.10%,7.00%,19.70%,10.00%,87.30%,29.80%,,24.30%,18.90%,12.00%,5.50%,,"33,257","25,023","26,131","32,107","45,939","50,539",5.90%
2014,"New Orleans city, Louisiana!!Total!!Estimate","39,271",13.10%,30.40%,44.50%,12.00%,"266,487",4.30%,9.30%,24.70%,21.60%,4.00%,20.60%,15.50%,86.40%,36.00%,,42.20%,31.50%,22.60%,6.60%,,"32,026","16,735","21,887","27,220","45,214","56,276",7.30%
2014,"Baltimore city, Maryland!!Total!!Estimate","67,696",15.90%,31.80%,41.50%,10.80%,"423,249",4.60%,11.00%,31.70%,17.90%,4.80%,15.40%,14.60%,84.40%,30.00%,,34.20%,23.20%,18.10%,8.30%,,"35,603","19,526","27,652","31,576","46,210","61,974",12.30%
2014,"Boston city, Massachusetts!!Total!!Estimate","103,472",5.60%,23.30%,52.50%,18.60%,"444,008",8.30%,7.00%,20.50%,12.90%,4.80%,25.60%,20.90%,84.70%,46.50%,,34.30%,22.80%,20.80%,8.30%,,"45,053","20,410","27,539","35,552","55,810","66,967",10.30%
2014,"Detroit city, Michigan!!Total!!Estimate","80,546",21.90%,37.40%,35.50%,5.20%,"430,812",5.70%,15.40%,33.50%,24.50%,7.10%,8.20%,5.60%,78.90%,13.80%,,44.90%,34.40%,27.10%,16.10%,,"22,419","16,773","20,022","22,555","35,136","47,233",8.40%
2014,"Minneapolis city, Minnesota!!Total!!Estimate","56,120",8.00%,21.60%,49.20%,21.20%,"268,479",5.30%,4.90%,16.90%,17.90%,6.90%,29.50%,18.60%,89.90%,48.10%,,44.10%,24.70%,19.90%,6.70%,,"37,841","15,893","25,346","30,242","46,837","62,424",7.40%
2014,"Newark city, New Jersey!!Total!!Estimate","33,658",16.70%,34.60%,40.20%,8.50%,"174,473",12.20%,12.00%,37.20%,19.70%,5.10%,9.50%,4.20%,75.80%,13.70%,,27.80%,24.00%,20.80%,9.80%,,"25,938","20,840","24,283","26,744","37,475","51,063",9.30%
2014,"Albuquerque city, New Mexico!!Total!!Estimate","55,167",15.80%,28.90%,47.20%,8.00%,"372,538",4.30%,6.30%,23.50%,24.10%,8.20%,19.10%,14.40%,89.40%,33.50%,,37.00%,20.70%,16.10%,7.00%,,"34,231","20,747","25,742","30,053","44,786","55,965",6.80%
2014,"Buffalo city, New York!!Total!!Estimate","34,149",14.90%,26.60%,42.70%,15.80%,"164,880",5.70%,11.80%,25.70%,22.80%,10.30%,13.80%,9.90%,82.50%,23.70%,,41.00%,27.00%,23.30%,9.70%,,"27,937","15,525","21,993","27,048","40,042","49,153",8.10%
2014,"New York city, New York!!Total!!Estimate","819,963",14.80%,24.30%,43.10%,17.80%,"5,874,316",10.10%,9.40%,24.20%,13.90%,6.60%,21.20%,14.70%,80.50%,35.90%,,33.20%,20.90%,15.60%,7.60%,,"39,151","18,899","26,552","35,853","54,692","71,801",11.00%
2014,"Charlotte city, North Carolina!!Total!!Estimate","83,964",13.20%,25.60%,44.00%,17.30%,"529,869",5.10%,6.80%,18.60%,20.40%,7.80%,27.20%,14.10%,88.20%,41.30%,,30.80%,17.80%,13.10%,4.40%,,"36,637","19,200","23,159","31,981","47,491","67,973",6.30%
2014,"Raleigh city, North Carolina!!Total!!Estimate","58,803",9.30%,22.00%,51.90%,16.80%,"283,334",4.30%,3.60%,16.80%,18.70%,8.70%,30.70%,17.20%,92.10%,47.80%,,40.10%,18.50%,8.90%,5.20%,,"37,539","14,406","25,247","31,163","50,679","56,301",5.10%
2014,"Cleveland city, Ohio!!Total!!Estimate","45,841",22.60%,35.70%,33.90%,7.90%,"249,594",5.60%,17.80%,32.40%,22.30%,6.90%,9.30%,5.80%,76.70%,15.10%,,47.20%,30.60%,26.60%,14.40%,,"25,457","14,344","23,761","24,098","41,180","52,401",6.50%
2014,"Columbus city, Ohio!!Total!!Estimate","102,564",9.50%,24.90%,51.10%,14.60%,"545,148",4.10%,7.70%,24.60%,21.90%,7.00%,22.40%,12.30%,88.10%,34.70%,,42.10%,18.70%,13.10%,6.30%,,"33,943","16,197","26,174","30,964","44,452","56,226",5.90%
2014,"Oklahoma City city, Oklahoma!!Total!!Estimate","57,910",16.90%,30.20%,42.50%,10.40%,"405,220",6.20%,8.20%,25.80%,24.20%,7.00%,18.90%,9.60%,85.60%,28.50%,,31.40%,18.80%,9.40%,5.50%,,"32,762","20,083","25,227","32,432","48,838","59,551",7.70%
2014,"Tulsa city, Oklahoma!!Total!!Estimate","39,568",18.90%,28.50%,41.50%,11.00%,"262,463",5.20%,8.30%,24.90%,24.00%,7.80%,19.70%,10.20%,86.50%,29.90%,,30.10%,19.20%,13.30%,5.00%,,"31,337","21,242","25,314","30,521","40,957","53,282",6.70%
2014,"Portland city, Oregon!!Total!!Estimate","54,148",11.80%,18.20%,55.30%,14.80%,"450,953",3.90%,4.10%,16.50%,22.00%,7.60%,28.20%,17.90%,92.10%,46.10%,,34.90%,22.20%,18.30%,7.70%,,"33,777","19,727","25,199","27,385","40,458","61,562",6.00%
2014,"Pittsburgh city, Pennsylvania!!Total!!Estimate","52,415",4.60%,21.60%,50.90%,22.80%,"205,251",2.60%,6.50%,27.90%,16.10%,8.40%,21.30%,17.20%,90.90%,38.40%,,37.80%,20.00%,17.90%,7.70%,,"32,949","13,793","23,613","30,435","40,357","51,775",6.10%
2014,"Arlington city, Texas!!Total!!Estimate","41,798",14.60%,33.40%,43.00%,9.00%,"238,172",7.60%,7.30%,23.20%,24.90%,8.40%,18.10%,10.50%,85.10%,28.60%,,27.20%,14.00%,10.40%,5.20%,,"36,150","19,864","27,835","36,802","50,045","60,974",7.00%
2014,"Austin city, Texas!!Total!!Estimate","102,060",9.70%,22.70%,53.80%,13.80%,"614,340",6.30%,5.40%,17.00%,18.60%,5.10%,29.30%,18.40%,88.30%,47.60%,,32.70%,19.60%,13.20%,5.90%,,"37,514","19,889","24,484","31,892","50,202","63,089",10.90%
2014,"Dallas city, Texas!!Total!!Estimate","130,869",20.60%,30.90%,35.10%,13.30%,"814,744",13.70%,11.90%,22.00%,18.00%,4.50%,18.60%,11.30%,74.40%,29.90%,,31.90%,24.90%,15.80%,6.30%,,"31,216","20,495","25,229","30,295","54,256","71,290",6.70%
2014,"El Paso city, Texas!!Total!!Estimate","77,386",15.10%,28.50%,50.10%,6.20%,"417,772",14.10%,7.50%,25.40%,22.30%,7.40%,15.90%,7.50%,78.40%,23.30%,,34.70%,16.30%,13.50%,7.40%,,"27,964","15,332","23,263","26,675","44,764","57,451",5.50%
2014,"Fort Worth city, Texas!!Total!!Estimate","84,372",16.90%,32.20%,42.00%,8.90%,"499,987",9.20%,9.80%,25.10%,22.70%,6.70%,17.20%,9.30%,81.00%,26.50%,,26.90%,20.10%,10.90%,3.70%,,"35,625","20,854","27,164","36,711","52,938","65,576",6.80%
2014,"Houston city, Texas!!Total!!Estimate","240,367",19.20%,31.40%,38.90%,10.50%,"1,440,374",13.50%,9.90%,22.30%,18.90%,5.00%,18.30%,12.00%,76.50%,30.40%,,30.00%,21.20%,13.80%,5.80%,,"31,697","19,862","23,541","30,980","54,939","72,519",7.00%
2014,"San Antonio city, Texas!!Total!!Estimate","160,907",14.20%,33.10%,45.20%,7.50%,"906,728",9.40%,9.70%,25.00%,23.40%,7.40%,16.20%,8.90%,80.90%,25.00%,,30.10%,18.10%,11.60%,5.90%,,"30,344","17,888","24,553","30,804","47,328","61,689",6.60%
2014,"Salt Lake City city, Utah!!Total!!Estimate","27,603",9.80%,32.10%,46.40%,11.70%,"123,393",6.00%,7.00%,16.50%,20.30%,8.10%,24.10%,17.90%,87.00%,42.00%,,32.60%,20.70%,15.50%,7.20%,,"30,922","22,121","22,586","28,748","40,052","57,173",5.30%
2014,"Seattle city, Washington!!Total!!Estimate","72,754",6.90%,15.80%,47.50%,29.80%,"495,746",3.50%,3.70%,10.20%,16.00%,7.70%,34.90%,24.00%,92.80%,58.90%,,34.40%,16.80%,14.00%,6.20%,,"49,703","23,337","27,303","36,411","57,185","76,537",7.70%
2014,"Milwaukee city, Wisconsin!!Total!!Estimate","76,662",13.90%,29.60%,47.30%,9.20%,"368,229",5.90%,11.20%,30.10%,22.20%,7.20%,15.10%,8.40%,82.90%,23.50%,,37.00%,24.20%,20.50%,7.80%,,"29,601","19,875","24,989","27,020","41,916","55,083",7.90%
