Year,Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS,    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree,    Educational attainment
2013,"Boston city, Massachusetts!!Total!!Estimate","105,830",7.20%,20.90%,52.80%,19.00%,"431,928",7.80%,6.60%,22.30%,13.60%,4.50%,24.90%,20.30%,85.60%,45.20%,,31.80%,22.10%,18.00%,8.10%,,"41,887","20,444","28,208","32,406","54,535","66,490",10.90%
2013,"Detroit city, Michigan!!Total!!Estimate","83,181",23.40%,31.50%,41.00%,4.10%,"433,725",5.90%,15.50%,32.00%,27.10%,6.40%,7.60%,5.40%,78.60%,13.00%,,47.20%,33.80%,28.60%,15.60%,,"24,392","16,279","21,103","25,628","36,983","51,112",8.10%
2013,"Minneapolis city, Minnesota!!Total!!Estimate","54,550",8.00%,16.10%,56.50%,19.40%,"266,925",5.70%,4.90%,18.30%,18.20%,6.50%,28.50%,17.90%,89.40%,46.30%,,35.70%,24.10%,18.50%,6.90%,,"36,536","17,973","24,116","30,804","45,082","61,220",7.20%
2013,"Newark city, New Jersey!!Total!!Estimate","31,211",15.90%,32.00%,45.60%,6.40%,"177,445",13.80%,13.60%,37.50%,17.80%,4.00%,9.40%,3.80%,72.60%,13.20%,,31.70%,25.70%,20.20%,10.70%,,"26,121","19,096","25,609","29,347","33,291","57,894",10.40%
2013,"Albuquerque city, New Mexico!!Total!!Estimate","55,176",18.70%,25.30%,48.70%,7.20%,"371,166",5.30%,5.50%,23.30%,24.10%,7.70%,19.00%,15.10%,89.20%,34.20%,,32.60%,15.50%,15.20%,6.20%,,"32,118","17,167","25,955","28,296","41,061","56,111",5.90%
2013,"Buffalo city, New York!!Total!!Estimate","33,477",16.30%,28.40%,42.20%,13.10%,"166,252",5.40%,10.90%,27.90%,21.30%,9.20%,14.40%,10.80%,83.70%,25.20%,,43.20%,25.20%,22.00%,10.50%,,"30,540","19,536","28,813","26,892","39,293","48,055",6.30%
2013,"New York city, New York!!Total!!Estimate","832,568",16.00%,23.90%,43.30%,16.70%,"5,788,686",10.30%,9.30%,24.30%,14.00%,6.40%,21.10%,14.60%,80.40%,35.70%,,33.50%,20.60%,15.20%,7.60%,,"38,560","19,152","27,234","35,565","54,785","71,201",11.70%
2013,"Charlotte city, North Carolina!!Total!!Estimate","78,554",16.10%,23.70%,42.40%,17.70%,"514,849",5.50%,6.80%,18.50%,21.10%,7.00%,27.70%,13.40%,87.70%,41.10%,,32.10%,17.70%,12.90%,5.70%,,"33,928","18,113","24,152","28,392","48,011","66,637",6.00%
2013,"Raleigh city, North Carolina!!Total!!Estimate","55,680",8.80%,17.40%,54.90%,18.90%,"277,492",5.30%,4.80%,15.90%,18.00%,6.60%,32.50%,17.00%,90.00%,49.50%,,32.80%,15.80%,8.60%,3.90%,,"36,932","15,985","21,833","30,247","46,978","61,072",6.50%
2013,"Cleveland city, Ohio!!Total!!Estimate","47,338",23.30%,30.80%,37.10%,8.80%,"251,976",5.90%,15.90%,32.70%,23.00%,6.10%,10.20%,6.30%,78.20%,16.50%,,49.90%,27.50%,27.50%,11.20%,,"26,985","14,317","24,755","26,199","41,758","55,492",7.80%
2013,"Columbus city, Ohio!!Total!!Estimate","98,955",12.90%,25.20%,46.80%,15.10%,"533,530",4.30%,7.80%,26.70%,21.10%,6.60%,21.90%,11.70%,88.00%,33.60%,,37.80%,19.20%,16.40%,5.60%,,"33,694","17,467","25,798","31,451","45,425","53,221",5.20%
2013,"Oklahoma City city, Oklahoma!!Total!!Estimate","61,960",18.00%,27.00%,45.00%,10.00%,"396,866",6.70%,10.20%,25.40%,24.10%,6.40%,18.30%,9.00%,83.10%,27.30%,,27.50%,16.20%,10.20%,4.10%,,"31,695","21,235","25,495","32,172","43,390","54,437",7.30%
2013,"Tulsa city, Oklahoma!!Total!!Estimate","42,599",20.40%,30.40%,39.20%,10.10%,"259,180",5.10%,7.50%,25.50%,23.10%,7.70%,20.50%,10.50%,87.30%,31.00%,,31.00%,18.40%,14.50%,5.10%,,"30,951","21,159","23,657","28,938","42,335","61,120",5.70%
2013,"Portland city, Oregon!!Total!!Estimate","54,987",14.30%,24.00%,50.00%,11.70%,"443,687",4.60%,4.80%,16.50%,20.90%,7.20%,27.50%,18.50%,90.60%,46.00%,,32.80%,21.60%,15.80%,8.40%,,"36,118","18,298","25,742","29,911","43,586","62,143",6.50%
2013,"Pittsburgh city, Pennsylvania!!Total!!Estimate","52,812",4.90%,17.70%,56.00%,21.30%,"203,293",2.20%,6.00%,28.10%,15.50%,8.50%,20.20%,19.50%,91.80%,39.70%,,31.90%,21.20%,17.90%,7.20%,,"32,490","14,293","25,445","28,211","40,854","50,917",6.30%
2013,"Arlington city, Texas!!Total!!Estimate","39,864",18.10%,25.30%,48.90%,7.60%,"235,489",7.90%,7.50%,23.40%,24.80%,7.30%,20.80%,8.40%,84.60%,29.10%,,26.40%,16.60%,8.30%,5.20%,,"35,605","21,486","26,206","36,391","47,128","57,004",6.20%
2013,"Austin city, Texas!!Total!!Estimate","108,916",11.90%,22.20%,52.60%,13.30%,"582,889",6.60%,5.90%,16.20%,19.60%,5.00%,29.80%,16.90%,87.50%,46.70%,,32.60%,18.50%,10.80%,6.20%,,"36,747","17,186","25,633","31,781","45,139","65,714",9.30%
2013,"Dallas city, Texas!!Total!!Estimate","131,648",20.30%,29.80%,38.70%,11.30%,"798,056",13.00%,12.00%,21.40%,18.40%,4.40%,19.20%,11.60%,75.00%,30.70%,,32.30%,21.70%,16.90%,5.50%,,"31,160","19,286","23,232","31,191","51,205","70,705",6.50%
2013,"El Paso city, Texas!!Total!!Estimate","75,792",13.50%,26.60%,53.60%,6.30%,"408,361",14.10%,8.70%,22.80%,24.20%,7.50%,15.50%,7.20%,77.30%,22.80%,,34.20%,19.20%,11.20%,5.00%,,"27,127","15,794","22,054","27,912","45,136","56,947",5.80%
2013,"Fort Worth city, Texas!!Total!!Estimate","82,497",18.60%,30.20%,41.60%,9.60%,"482,793",8.80%,10.20%,24.70%,22.00%,6.00%,18.60%,9.60%,80.90%,28.20%,,31.10%,18.40%,12.10%,3.70%,,"34,177","22,352","26,636","34,753","50,474","57,362",5.90%
2013,"Houston city, Texas!!Total!!Estimate","229,356",19.80%,31.90%,37.30%,11.10%,"1,415,901",13.10%,9.60%,22.90%,18.40%,4.60%,19.30%,12.10%,77.20%,31.40%,,29.80%,22.00%,14.60%,5.80%,,"31,317","19,312","23,244","30,805","51,857","70,990",7.10%
2013,"San Antonio city, Texas!!Total!!Estimate","159,014",16.30%,31.30%,44.00%,8.50%,"889,314",8.80%,9.00%,27.00%,22.30%,7.10%,16.80%,9.00%,82.20%,25.80%,,31.00%,16.70%,11.90%,5.60%,,"30,434","17,196","23,452","30,170","48,002","57,584",7.20%
2013,"Salt Lake City city, Utah!!Total!!Estimate","25,630",11.10%,22.00%,54.00%,12.90%,"123,102",7.50%,4.50%,17.90%,20.60%,5.90%,23.70%,19.80%,88.00%,43.60%,,29.00%,15.60%,14.00%,5.90%,,"32,280","17,837","23,199","30,077","40,916","61,293",4.40%
2013,"Seattle city, Washington!!Total!!Estimate","73,209",7.10%,16.10%,50.00%,26.80%,"478,685",3.00%,3.30%,11.20%,17.10%,5.70%,35.80%,24.00%,93.70%,59.80%,,35.10%,18.80%,15.70%,5.10%,,"48,652","20,306","30,439","35,065","54,869","74,076",7.60%
2013,"Milwaukee city, Wisconsin!!Total!!Estimate","75,170",16.50%,28.70%,46.90%,8.00%,"365,916",6.50%,11.70%,29.70%,22.10%,6.90%,15.10%,8.00%,81.80%,23.20%,,37.80%,21.00%,20.70%,7.80%,,"29,171","18,220","22,967","26,411","40,859","56,299",7.20%
